Coordenada X (m);Coordenada Y (m);Processo N.º;Parque Eólico;Sub-Parque;Licenciamento;Concelho;Distrito;NUT II;Inspire ID;Thematic ID;x;y
"-11 262,8";"92 561,85";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1116;IDDGEG_InfraestruturasEnergeticas;"-11 262,8";"92 561,849"
"-11 055,16";"92 737,28";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1115;IDDGEG_InfraestruturasEnergeticas;"-11 055,165";"92 737,28"
"-10 882,48";"92 948,44";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1114;IDDGEG_InfraestruturasEnergeticas;"-10 882,485";"92 948,441"
"-10 712,35";"93 135,28";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1113;IDDGEG_InfraestruturasEnergeticas;"-10 712,352";"93 135,281"
"-7931,54";"95 324,21";663;ALTO DE MONÇÃO; ;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_1104;IDDGEG_InfraestruturasEnergeticas;"-7931,539";"95 324,209"
"-9337,98";"93 399,46";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1112;IDDGEG_InfraestruturasEnergeticas;"-9337,975";"93 399,456"
"-8775,27";"93 578,62";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1111;IDDGEG_InfraestruturasEnergeticas;"-8775,268";"93 578,62"
"-8539,48";"93 764,53";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1110;IDDGEG_InfraestruturasEnergeticas;"-8539,477";"93 764,53"
"-8454,98";"93 928,43";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1109;IDDGEG_InfraestruturasEnergeticas;"-8454,98";"93 928,425"
"-8425,47";"94 104,92";663;ALTO DE MONÇÃO; ;Licenciado;Mortágua;Viseu;Centro;IDDGEG_CE_1108;IDDGEG_InfraestruturasEnergeticas;"-8425,471";"94 104,921"
"-8285,28";"94 338,09";663;ALTO DE MONÇÃO; ;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_1107;IDDGEG_InfraestruturasEnergeticas;"-8285,281";"94 338,093"
"-8282,56";"94 594,62";663;ALTO DE MONÇÃO; ;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_1106;IDDGEG_InfraestruturasEnergeticas;"-8282,565";"94 594,616"
"-8021,72";"95 160,82";663;ALTO DE MONÇÃO; ;Licenciado;Tondela;Viseu;Centro;IDDGEG_CE_1105;IDDGEG_InfraestruturasEnergeticas;"-8021,718";"95 160,821"
