Data,Real,Previsao
2013-01-04,149543.7,176390.61
2013-01-10,65510.1,73649.11
2013-01-11,58813.8,81757.64
2013-01-12,215235.9,170484.95
2013-01-16,296588.4,273552.28
2013-01-18,339106.5,415255.66
2013-01-21,183723.9,179569.16
2013-01-27,233458.9,174045.11
2013-01-29,82105.6,109045.2
2013-01-30,100070.0,94384.51
2013-02-02,258774.3,255620.9
2013-02-03,132163.8,139857.47
2013-02-04,83193.1,70603.75
2013-02-05,179967.6,137107.36
2013-02-06,309253.3,313215.16
2013-02-16,25796.7,100182.61
2013-02-17,118874.3,161363.03
2013-02-18,77528.0,146456.25
2013-02-21,182071.2,241662.75
2013-02-24,162910.4,174926.62
2013-02-25,94712.0,132165.22
2013-03-01,100869.6,98796.42
2013-03-03,230815.5,268835.4
2013-03-04,341354.0,386626.9
2013-03-06,232240.1,308475.72
2013-03-08,226191.2,291024.2
2013-03-12,200013.0,218449.34
2013-03-14,102248.8,144420.5
2013-03-15,35100.0,119823.89
2013-03-18,141648.2,125261.375
2013-03-21,280955.5,270188.16
2013-03-25,279457.8,336961.06
2013-04-02,140023.3,202256.88
2013-04-07,82619.8,111142.56
2013-04-10,226196.8,257351.52
2013-04-13,65452.8,83980.42
2013-04-16,20836.5,27070.932
2013-04-22,142266.3,91749.19
2013-04-23,119790.0,152322.9
2013-05-04,31002.4,57576.58
2013-05-08,36882.4,49469.402
2013-05-18,221508.7,252773.28
2013-05-23,91119.3,60282.996
2013-05-25,73552.8,77100.55
2013-05-28,224434.8,245868.9
2013-06-02,138399.4,153202.78
2013-06-05,46365.5,97136.734
2013-06-09,94223.7,154521.22
2013-06-10,57869.9,79873.58
2013-06-15,86383.3,109460.35
2013-06-19,162034.2,222722.58
2013-06-23,149460.6,102100.64
2013-06-26,121323.5,102845.69
2013-06-27,107999.0,102568.086
2013-06-28,125047.5,115978.14
2013-06-29,149061.6,162009.77
2013-06-30,94664.3,107557.17
2013-07-01,80666.3,116625.83
2013-07-02,99358.0,76203.85
2013-07-06,67876.1,117350.05
2013-07-07,68607.1,71006.81
2013-07-10,39565.7,77313.58
2013-07-11,71673.1,38229.812
2013-07-15,38007.7,44467.68
2013-07-17,62141.9,46959.457
2013-07-18,54786.6,42031.734
2013-07-19,44770.9,76607.35
2013-07-21,43228.0,63023.715
2013-07-26,58392.9,87253.53
2013-07-28,123007.4,124669.79
2013-08-01,68261.7,80719.7
2013-08-02,115758.9,122164.71
2013-08-03,96278.3,127902.1
2013-08-06,114392.3,129672.266
2013-08-09,63273.0,91213.23
2013-08-10,51977.6,63830.457
2013-08-11,57544.1,60051.234
2013-08-12,35476.9,87632.016
2013-08-13,98499.9,37652.473
2013-08-14,72027.5,49474.09
2013-08-19,66810.5,68222.695
2013-08-21,53029.5,88737.39
2013-08-30,66679.9,78639.72
2013-08-31,51094.4,58046.234
2013-09-01,101940.8,86523.42
2013-09-07,68428.5,84904.17
2013-09-08,70622.2,91067.95
2013-09-12,109382.8,141839.78
2013-09-15,79873.9,93463.34
2013-09-17,89067.0,126359.53
2013-09-18,103244.7,113389.08
2013-09-19,92190.0,56195.418
2013-09-20,80569.3,93905.16
2013-09-24,44533.5,95126.445
2013-09-27,279118.9,319764.28
2013-10-01,204944.4,211658.17
2013-10-05,30777.6,63244.445
2013-10-09,86964.8,120439.8
2013-10-10,29086.5,76602.84
2013-10-14,78357.4,81315.984
2013-10-19,164540.9,182510.88
2013-10-20,135750.7,141858.06
2013-10-22,286888.8,291589.97
2013-10-26,43786.3,40125.348
2013-10-27,76683.1,44690.47
2013-10-29,147825.5,146129.52
2013-10-30,50328.6,78638.555
2013-11-05,149300.8,186507.34
2013-11-08,184309.3,138254.02
2013-11-09,147269.6,64846.3
2013-11-14,221270.6,166551.84
2013-11-15,188117.8,169237.5
2013-11-18,167236.6,125051.61
2013-11-21,128928.5,69321.44
2013-11-22,85485.2,52120.74
2013-11-24,228506.5,159981.16
2013-11-25,259697.8,159914.53
2013-12-01,238993.1,128669.2
2013-12-02,145291.9,137202.06
2013-12-13,79989.8,110826.23
2013-12-16,141477.8,130453.42
2013-12-21,29742.4,145798.83
2013-12-24,307775.9,307973.78
2013-12-28,236012.2,273462.8
2014-01-05,259466.2,148975.55
2014-01-07,210383.8,178075.66
2014-01-09,122415.1,188813.16
2014-01-10,28211.1,166749.94
2014-01-15,190972.6,196450.62
2014-01-21,160992.0,206858.6
2014-01-25,230928.7,203278.4
